Statement,Sentiment
$PCLN Trying to break daily trend line! Big move could happen https://t.co/gY0aDb2jsQ https://t.co/KPBBCgQ2xy,positive
Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,negative
BG Group Still Happy With Shell's $70 Billion Offer,positive
@ACInvestorBlog: $SPY eod run :),positive
"Production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes .",positive
Tullow Oil Suspends Dividend Amid Oil Price Fall,negative
15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V .,positive
RT @ACInvestorBlog $AAPL still on track for $500,positive
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",positive
Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .,negative
"Finnish plumbing and heating systems supplier Uponor 's net sales in continuing business operations decreased to EUR 249.1 mn in July-September 2008 , compared to EUR 262.1 mn in the third quarter of 2007 .",negative
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,positive
$CTRP breaking out https://t.co/Z2je3rTKch,positive
$SIGA Bid for Reargument Denied by Judge,negative
Unilever profit rises despite sales slump in China,positive
"$AAPL at pivot area on intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN",positive
stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,positive
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive
$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,negative
Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,negative
$AMGN And #UCB Announce Positive Top-Line Results From Ph3 Study Evaluating Romosozumab In Men... https://t.co/4hBoUDR8B8 via @YahooFinance,positive
$BBRY lets see 14+ today,positive
$vxx adding to position here !,positive
Auto Trader share price surges as company floats on LSE,positive
"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks .",positive
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",negative
DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -Â® 2006 Digitalmediaasia.com & DMA Ltd. .,positive
$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,negative
UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,negative
The sale of the Healthcare Trade business supports Oriola-KD 's strategy to focus on Pharmaceutical Wholesale and Retail businesses .,positive
The value of the firm 's forestry holdings increased by SEK 3.6 bn .,positive
- I am pleased that Bjorn Wahlroos has accepted the nomination .,positive
AstraZeneca wins FDA approval for key new lung cancer pill,positive
"Long Position on $IP,....Scaling UP http://stks.co/sIln",positive
"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",negative
@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,positive
The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .,positive
The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .,negative
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,negative
$SAVE long. https://t.co/yEJuS9cMlC,positive
Sales in Finland rose by 3.9 % and international growth was 0.7 % .,positive
Our superior customer centricity and expertise in digital services set us apart from our competitors .,positive
"And the broker repeated its ` buy ' rating , based on expectations that current restructuring will lead to a clear improvement in performance in Europe in 2007 .",positive
Unit costs for flight operations fell by 6.4 percent .,positive
"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",positive
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,negative
HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site .,positive
AB InBev looks to win over SABMiller investors,positive
AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,positive
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive
"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur .",positive
"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",negative
"Tesla Recalling 2,700 Model X Units, Related to Faulty Latch for Third-Row Seats; Fall To $252.50 Level on Recall, Shares Up 1%  $TSLA",negative
Johnson Matthey revs up on clean air drive,positive
"( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007 .",positive
Finnish Raute Precision has won large glass batch plant and mortar plant orders from Mexico and the US .,positive
"Went long on this $COG, will see 70's again me thinks",positive
The company said that it has started to investigate streamlining its operations in order to meet the tightening competition on the mobile phone charger market .,positive
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,positive
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive
"`` We are happy to be working with Rapala to encourage boaters and anglers to introduce newcomers to the sport , '' said RBFF President & CEO Frank Peterson .",positive
"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",positive
"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .",negative
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",negative
"Net sales will , however , increase from 2005 .",positive
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",negative
"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki .",positive
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",positive
NaturalGas Settles At 3-year Low $DBO $BNO  http://stks.co/d27qX,negative
"The company 's net profit amounted to EE 55.5 mn , which was 36 % more than in 2004 .",positive
"Profit per share was EUR 1.03 , up from EUR 0.87 .",positive
"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",negative
EBIT margin was up from 1.4 % to 5.1 % .,positive
"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",positive
$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF,positive
"Previously , the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year .",positive
"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive
HSBC Hit by Fresh Details of Tax Evasion Claims,negative
$IBIO  up 10% in premarket ready for lift off,positive
$FB i guess they want it down look at the those sell orders,negative
"$QCOR Just added 3,000 shares @28.",positive
$AMZN new HOD with conviction keeping $570 on watch for Resistance.,positive
"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",positive
"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .",positive
The rebuilds are designed to improve the machines ' performance and product quality .,positive
Goodwin not to face Scottish prosecution over RBS,positive
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",negative
"The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .",positive
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",positive
"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",positive
Locked in some $FB puts for nice gain,negative
Passenger volumes rose by 8.4 % in the accounting period .,positive
in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205 .,negative
$FB (110.20) is starting to show some relative strength and signs of potential B/O on the daily.,positive
Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,negative
energy still failing to close above the 10D MA.  continues to stand out weak $XLE,negative
"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .",negative
$aapl.  Test the high today and probably go beyond after hours...,positive
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,positive
$SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.,negative
"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",positive
$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t,positive
AB InBev approaches SABMiller to explore $250bn tie-up,positive
"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",negative
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive
Sales of mid-strength beer decreased by 40 % .,negative
"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .",positive
"Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd. .",positive
Elektrobit ( EB ) has renewed its IT infrastructure contract with ICT services provider Fujitsu Services for EB 's Patja service .,positive
"The core of Solidium 's investment strategy is proper , value enhancing asset management of the current holdings .",positive
"Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago .",positive
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",positive
"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",negative
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,positive
"Operating profit surged to EUR21m from EUR106 ,000 .",positive
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",negative
$ASTX Daily technical indicators are bullish. Breakout watch over 4.58  http://stks.co/eOvw,positive
"Sales are expected to increase in the end of the year 2006 , however .",positive
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,negative
The groups 's turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year .,positive
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,positive
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative
$brcm raises revenue forecast,positive
"`` Nokia 's Calling All Innovators Africa competition has been specifically launched to enable developers to create locally relevant , best-of-breed mobile applications . ''",positive
Net sales surged by 30 % to EUR 36 million .,positive
"M-real Corporation Press release on 3 November at 10:35 am M-real Corporation was the second best company in the materials sector including e.g. forest industry companies in the Carbon Disclosure Leadership Index CDLI , Nordic Report 2009 .",positive
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in Sievi , in Finland .",negative
Kingfisher share price slides on cost to implement new strategy,negative
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,negative
$CSX another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/eA4FBVuqGP,positive
"In addition to Russia , we now seek additional growth in Ukraine .",positive
The aim is to increase sales by at least one fifth in 2006 .,positive
"UPM said the move will lower net profit by  x20ac 385 million US$ 520 million in the second quarter , mainly due to impairment charges .",negative
AB InBev ups offer for SABMiller as deadline looms,positive
"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",negative
$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,positive
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",positive
"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board .",positive
$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,negative
"Net sales went up by 1 % year-on-year to EUR 29 million , affected by the business acquisitions , realized during the previous financial period , the effect of which was EUR 5.1 million on the review period .",positive
"As a result , the company has decided it will implement fixed-term temporary lay-offs .",negative
`` Those uncertainties cloud the long-term outlook . '',negative
"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",negative
Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland .,positive
Long $TSLA short $MBLY https://t.co/jSpUSzo6na,positive
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",negative
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",positive
BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,positive
"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",positive
"MADISON , Wis. , Feb. 6 - PRNewswire - -- Fiskars announces that the United States Patent and Trademark Office has granted a trademark registration for the color orange on its iconic scissor handles .",positive
#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,negative
Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .,positive
Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,positive
"In addition to fireplace exports , demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .",positive
Companies Thetrainline.com announces arrival of London IPO,positive
"Growth was strongest in F-Secure 's operator ISPs , mobile operators and cable operators business .",positive
"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall .",negative
"Last week , the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker .",positive
"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive
"Pretax profit totalled EUR 80.8 mn , compared to a loss of EUR 13.1 mn in the corresponding period in 2009 .",positive
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,negative
"Of the price , Kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a gain of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 .",positive
The purpose of this action is to ensure company 's cost effectiveness this year and in the near future .,positive
Long $PCLN,positive
Apple Inc.: The Rip-Roaring Rally Is Just Beginning! (AAPL) | InvestorPlace $AAPL https://t.co/jrcFC8XlY9,positive
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,positive
"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",negative
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",negative
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",negative
Whitbread buys 49% stake in Pure food chain,positive
` By separating side businesses we will be able to faster expand and develop Tapro retail network .,positive
"Sudden optimism about iPhone sales (i.e., not as bad as expected) gives Apple $AAPL a lift.  https://t.co/oKTCw4YiB5",positive
The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .,negative
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",negative
"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",negative
The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,negative
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",negative
"$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.",positive
@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad,positive
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive
`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients .,positive
"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .",positive
$GPRO down 25% since Tue morning.,negative
"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",positive
Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,negative
Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,positive
Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .,positive
"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` We have been using Corporate Phonebook inside SysOpen Digia extensively since last fall , and we have been very satisfied with the results .",positive
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,negative
@REC_Zakaria Monday Bulls Are Out! Stock Ticker- Michael James Ent. Other picks $SBUX $GVP $NKE,positive
The Group aims to increase its net sales and comparable operating profit in 2006 .,positive
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",negative
Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,positive
"In accordance with our strategy , we strengthened our local presence by establishing a representative office in South Africa in October .",positive
"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",negative
"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",positive
The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,positive
"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009 .",positive
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,negative
"The Basware Connectivity services allow companies to handle purchase to pay processes online and make their internal processes more efficient , '' said CEO Ilkka Sihvo , Basware Corporation .",positive
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive
"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",positive
"@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols",negative
"SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 .",positive
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive
@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,negative
$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,positive
Severn Trent share price rises as first half profit inches up as customer ...,positive
easyJet leads Britain's FTSE lower as global bond rout resumes,negative
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",positive
Berkshire seeks to boost its Wells Fargo stake above 10 percent,positive
"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",positive
"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",positive
"The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .",positive
in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .,positive
Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,positive
$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN,negative
"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",positive
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive
Finnish electronics manufacturer PKC Group Oyj ( OMX Helsinki : PKC1V ) said on Wednesday ( 31 December ) that it has completed the acquisition of MAN Nutzfahrzeuge AG 's cable harness business from MAN Star Trucks & Buses Spolka zoo in Poland .,positive
"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",positive
$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),negative
Verizon and AT&T accused of hurting rivals,negative
`` The CHF is a great product .,positive
"Loaded up on $bsx yesterday,looking good now. Still think way more upside than downside.",positive
"Exel Composites ' long-term growth prospects remain favourable , however .",positive
"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .",positive
Shell share price: Standard Life announce position against BG acquisition,negative
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,negative
$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,positive
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,positive
"HELSINKI AFX - KCI Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",positive
Net sales of Finnish food industry company L+Ã±nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive
The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance .,positive
"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",positive
Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .,positive
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ã‚rbindelsen bridge in Gothenburg in Sweden .,positive
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,positive
"ST. PETERSBURG , Oct 14 ( PRIME-TASS ) -- Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday .",positive
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",positive
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",positive
Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,positive
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",negative
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,negative
"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .",positive
$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,negative
"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",positive
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,negative
"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .",negative
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",positive
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive
"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",positive
"In Sweden , there is an oversupply of pharmacies .",negative
"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .",negative
Japan's Nikkei lands Financial Times in $1.3 billion deal,positive
Rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates .,positive
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",positive
"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",negative
"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",positive
Yahoo stock is up to $36.46 as the bidding war picks up for the company https://t.co/JDNZXDCMkl $YHOO https://t.co/HmOegfHgvn,positive
Long $ENDP @ $26.23 on $AGN b/o rumor,positive
"Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers .",positive
Timberrrr $TSLA https://t.co/MRBgfDHHVa,negative
Return on capital employed rose by 4.8 percentage points to 19.6 % .,positive
"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",negative
EPS grew to 0.04 eur from 0.02 eur .,positive
Net cash flow from operations is expected to remain positive .,positive
"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .",positive
$AXP Looking for continuation with volume increase http://stks.co/c8sR,positive
Uponor improved its performance in spite of the decrease in residential construction in the US .,positive
$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,negative
It will focus on improving its profitability next year by streamlining operations .,positive
At the same time I am delighted by the fact that we were able to accomplish the organization with our own team members .,positive
